survey_year,duration,event,female,age,age_group,education,race_eth,married,industry,great_recession,weight
2002,2,1,0,32,30-39,College plus,White non-Hispanic,1,Education/health,0,697.5745
2002,1,0,0,62,60+,College plus,White non-Hispanic,1,,0,2108.824
2002,1,0,1,60,60+,HS diploma,White non-Hispanic,1,,0,2536.9734
2002,40,1,0,20,20-29,Some college,White non-Hispanic,0,Education/health,0,3395.7293
2002,1,0,1,57,50-59,College plus,White non-Hispanic,0,,0,738.8906
2002,1,0,0,38,30-39,Less than HS,White non-Hispanic,1,,0,2711.7091
2002,1,0,1,21,20-29,Some college,White non-Hispanic,0,,0,3414.0091
2002,1,1,0,40,40-49,HS diploma,White non-Hispanic,0,Trade,0,1860.6152
2002,1,0,1,22,20-29,Less than HS,White non-Hispanic,0,,0,2130.5398
2002,1,0,1,24,20-29,Some college,Black non-Hispanic,0,,0,2228.1434
2002,6,1,0,42,40-49,College plus,Black non-Hispanic,1,Education/health,0,768.783
2002,1,0,1,31,30-39,Some college,White non-Hispanic,1,,0,1844.3852
2002,1,0,0,47,40-49,College plus,White non-Hispanic,0,,0,2318.3711
2002,1,1,1,59,50-59,HS diploma,White non-Hispanic,1,Entertainment/hospitality,0,2132.8092
2002,1,0,0,45,40-49,HS diploma,White non-Hispanic,1,Manufacturing,0,2397.4073
2002,20,1,1,50,50-59,HS diploma,Black non-Hispanic,1,Education/health,0,2486.8387
2002,8,1,1,27,20-29,Some college,White non-Hispanic,0,Professional services,0,2339.6159
2002,1,0,0,25,20-29,HS diploma,White non-Hispanic,0,,0,2644.4087
2002,20,1,1,28,20-29,Less than HS,Black non-Hispanic,0,Education/health,0,2957.3959
2002,1,0,1,27,20-29,Some college,Hispanic,0,Business/repair services,0,2274.8458
2002,24,1,1,42,40-49,Less than HS,Hispanic,0,Manufacturing,0,2856.2472
2002,1,1,1,48,40-49,College plus,White non-Hispanic,1,Entertainment/hospitality,0,2698.9532
2002,1,0,0,58,50-59,Some college,White non-Hispanic,1,,0,2588.841
2002,8,1,1,26,20-29,Less than HS,Black non-Hispanic,0,Business/repair services,0,2424.1947
